label,score
5 stars,0.8328422904014587
5 stars,0.854891300201416
4 stars,0.5295302271842957
5 stars,0.7217727303504944
5 stars,0.6677514314651489
5 stars,0.562261164188385
3 stars,0.42101138830184937
3 stars,0.4279550611972809
3 stars,0.42967602610588074
5 stars,0.48529133200645447
4 stars,0.497924268245697
5 stars,0.49802491068840027
5 stars,0.8810393214225769
5 stars,0.8611924648284912
5 stars,0.8504764437675476
5 stars,0.7049435377120972
5 stars,0.8394798040390015
5 stars,0.8892626166343689
5 stars,0.6443769931793213
5 stars,0.797788143157959
5 stars,0.8578909039497375
5 stars,0.5679709911346436
4 stars,0.47028404474258423
4 stars,0.4774525463581085
5 stars,0.80975741147995
5 stars,0.8049248456954956
5 stars,0.7230795621871948
1 star,0.5055254697799683
4 stars,0.5473216772079468
2 stars,0.34506794810295105
