label,score
4 stars,0.46631044149398804
5 stars,0.566214382648468
5 stars,0.5214313864707947
5 stars,0.4576072096824646
4 stars,0.5237898230552673
4 stars,0.44262370467185974
3 stars,0.3452237844467163
3 stars,0.3403967022895813
3 stars,0.42569053173065186
4 stars,0.5382803678512573
4 stars,0.5569878220558167
4 stars,0.523958683013916
5 stars,0.8268035054206848
4 stars,0.5102614760398865
5 stars,0.6585614085197449
5 stars,0.4306899607181549
5 stars,0.5519177913665771
4 stars,0.43768858909606934
5 stars,0.7340994477272034
4 stars,0.5610678195953369
4 stars,0.5621349215507507
4 stars,0.5319528579711914
3 stars,0.4268377423286438
4 stars,0.49243253469467163
4 stars,0.48732325434684753
4 stars,0.6058695316314697
4 stars,0.6010766625404358
4 stars,0.3416385054588318
4 stars,0.481238454580307
4 stars,0.38074925541877747
