label,score
5 stars,0.5642080307006836
5 stars,0.6516381502151489
4 stars,0.5809773802757263
4 stars,0.4523659944534302
4 stars,0.40053215622901917
4 stars,0.44242826104164124
2 stars,0.3857041299343109
3 stars,0.3611844778060913
2 stars,0.4057043790817261
4 stars,0.49706724286079407
4 stars,0.5441613793373108
4 stars,0.5582981109619141
5 stars,0.7423263788223267
5 stars,0.4691372811794281
5 stars,0.5820246338844299
5 stars,0.7029820680618286
5 stars,0.33680543303489685
5 stars,0.5143803358078003
4 stars,0.4915318787097931
4 stars,0.5547260046005249
4 stars,0.5425605177879333
4 stars,0.5309695601463318
4 stars,0.4489190876483917
4 stars,0.3998393416404724
5 stars,0.7438765168190002
4 stars,0.5113858580589294
4 stars,0.5325180888175964
5 stars,0.3944273591041565
4 stars,0.3620772957801819
4 stars,0.33496370911598206
