label,score
4 stars,0.501336932182312
5 stars,0.5017081499099731
4 stars,0.5240561366081238
4 stars,0.44473645091056824
4 stars,0.4898545444011688
4 stars,0.5131200551986694
3 stars,0.37231022119522095
3 stars,0.4566591680049896
3 stars,0.4025939106941223
4 stars,0.5011773109436035
5 stars,0.4780920445919037
4 stars,0.49211880564689636
5 stars,0.8151562213897705
4 stars,0.5063813924789429
4 stars,0.5519421100616455
5 stars,0.779668390750885
5 stars,0.6084032654762268
5 stars,0.46567127108573914
4 stars,0.5053157210350037
4 stars,0.6141221523284912
4 stars,0.5689852237701416
4 stars,0.5173255801200867
4 stars,0.4731975197792053
4 stars,0.43604525923728943
5 stars,0.645751953125
4 stars,0.49013134837150574
4 stars,0.5362383127212524
5 stars,0.49158596992492676
5 stars,0.536206841468811
4 stars,0.34208181500434875
